q_id,processed_query
1,номер счета
2,где узнать бик и счёт
3,мне не приходят коды для подтверждения данной операции
4,"оформила рассрочку ,но уведомлений никаких не пришло"
5,"здравствуйте, когда смогу пользоваться кредитной картой?"
6,по истории платеж не отображается
7,"здравствуйте, в рп. нахабино отделение банка на улице институская 00, можно закрыть бизнес счет?"
8,узнать зарплатный счет
9,"подскажите, где я могу увидеть дату начала пользование кредитной карты?"
10,не приходит смс
11,не могу видеть на экране
12,не могу войти в альфа онлайн по номеру телефона
13,я заказала кредитную карту и мне одобрили почему мне не приходят смс чтобы получить карту в банке
14,а как получить номер расчётного счёта
15,мои счита
16,"можно узнать, я вчера пополнила сумму на 0000 за кредит? куда списался платеж ? за кредит или налог ?что теперь нужно сделать ?"
17,как мне узнать бик и расчётный счёт
18,прошу предоставить мне все мои счета
19,и я не вижу куда перешли деньги?
20,"здравствуйте, отправил деньги с т банка на альфа банк, чтобы покрыть рассрочку 00000, чуть больше, на всякий случай . подскажите, пожалуйста, получили ли деньги, а то в приложении не видно?"
21,"доброй ночи! скажите, что происходит??? снова мне не приходят смс"
22,не видно перевод в истории операций
23,кредитный счет
24,кэшбэк
25,"здравствуйте! я записалась в банк по времени, а меня не принимают. что делать?"
26,хочу узнать свой бик
27,и где кешбек обещанный?
28,"не вижу,в истории, списания и пополнения карты за покупку в магазине zolla, 0000.00"
29,"здравствуйте, а могу ли я узнать что за операции последние 0 на моей карты были"
30,не приходит смс для активации карты
31,"здравствуйте . могу ли я оформить кредит, чтоб деньги сразу поступили на карту в кабинет?"
32,почему мне не приходят подтверждения по операции
33,не пришла смс
34,номер счета для получения зарплаты?
35,"здравствуйте, как узнать расчетный счет?"
36,вот партнер одобрил заявку а где она?
37,расчетный щет
38,"расчётный счёт, где посмотреть?"
39,не приходят уведомления по операциям по кред карте
40,вот сейчас оплатила а как эти увидеть платежи? в истории нет их пока.
41,кэш
42,как найти бик банка
43,поступили на счет 00000 руб
44,сумма поступила
45,вы поможете оформить заявку?
46,нет денег на кредитке
47,здравствуйте а вот я себе сделал новую карту пластик и закажу сюда в приложении не вижу её почему б
48,как узнать привязана ли карта к этому номеру
49,отменить запись в отделение
50,кредитный счёт
51,расчетный счет
52,сейчас оплачивала услугу в циан. почему не вижу в истории списание на 0 тысячи?
53,номер счета
54,добрый день. подскажите прошла ли у меня последняя оплата?
55,расчетный счет
56,я вижу в мобильном приложении только одну карту
57,как узнать свой расчетный счет
58,хочу проверить транзакцию
59,не могу найти это пополнение
60,как удалить свой личный кабинет
61,нужен лицевой счет
62,"добрый день, не приходят уведомления о зачислении средств"
63,"здравствуйте, детскую карту ребёнку оформили, ребенку прислали перевод, почему не отображается сумма в личном кабинете?"
64,"бик карты нужен, счёт и всё остальное"
65,напиши номер моего ипотечного договора
66,добрый день. почему не приходят оповещения о поступлении денежных средств?
67,"здесь через вас или в банк, в офис?"
68,"здравствуйте! вопрос по кешбэку. я вчера оплачивала авиабилеты, общая стоимость была 00000 руб. вчера была скидка 00 и мне должно вернуться кэшбеком 0000 рублей"
69,"я 0 мая оплатила кредит, деньги пришли на счёт?"
70,здравствуйте. где посмотреть номер договора по карте?
71,могу ли пользоваться средствами на карте до её получения
72,за продукты
73,одобрили 0000 рублей
74,куда делась моя кредитная карта?
75,"здравствуйте,я случайно удалила карту с лимитом 00000.а счёт остался можно мне обратно карту вернуть в приложение"
76,"здравствуйте, хотела бы узнать откуда на счету кредитной карты деньги ?"
77,почему кредит не всю сумму мне дали?
78,можно ли подтверждение переводов не по смс сделать? а пуш или паролем для входа ?
79,деньги поступили кредитная карта
80,у этого номера заблокирован счёт.
81,не сменить а удалить
82,"здравствуйте, куда пришли деньги с последнего пополнения"
83,"внесла платёж, хочу узнать поступили ли средства."
84,"здравствуйте, хочу узнать бик банка"
85,"я брал деньги в рассрочку, оплатил досрочно. на счёту показывает 0000 р."
86,а где будит высвечивается
87,нет я про другой кэшбек
88,где посмотреть номер счёта карты
89,я не вижу бик банка
90,добрый день! по какому адресу банк работает с физическими лицами? и меняют ли у вас тенге на рубли
91,а можно 0 сделать кэшбека этого на оплату картой а не стикером
92,у меня номер заблокирован
93,добрый день мне нужна история переводов 0000 0000 год
94,"можно ли получить код не пуш уведомлением, а сообщением на телефон?"
95,куда пропали кредитные карты?почему не могу их найти?
96,"посмотрел историю операций, поступлений нет"
97,я оформила 00.000
98,"здравствуйте,как мне заплатить за детский сад если банк не может найти реквизиты садика"
99,для работы
100,можно сделать ещё одну дебетовую карту но привязать другой номер телефона?
101,почему деньги не появляются на балансе?
102,мои счета
103,"здравствуйте, на расчетный счёт пришла не вся сумма за вчерашний день"
104,как привязать номер к карте чтоб мне делали перевод по номеру телефону
105,до какого она действует?
106,"добрый день. мне на счёт поступили детские пособия, выплата с материнского капитала! где эти деньги, почему их нет на счёте?"
107,мне пришло предложение. максимально сумма 00000. я оформил на 0 тысяч. а отображается 00000
108,отделение митино время работы
109,поступления есть от меня?
110,какие счета у меня действующие?
111,откуда пришли деньги
112,какой у меня лимит по кредитной карте
113,кешбек
114,почему не вижу сколько денег на карте?
115,не поступил на баланс
116,"подскажите, в какой период я пользовалась кредитной картой?"
117,то есть пользоваться можно после получения пластика?
118,расчётный счёт
119,"здравствуйте. у меня проблемы с уведомлениями. уведомление о списаниях, пополнениях с банкомата и о зарплате приходят, а о переводах нет. с чем это может быть связано?"
120,часы работы круглосуточно?
121,"здравствуйте, как я могу узнать свой расчетный счет или сделать это?"
122,за последние 0 месяца
123,добрый день. не могу на экране найти кредитку с лимитом 00000
124,бик и нн банка
125,реквизиты проверены
126,"здравствуйте, что за пополнение мне пришло? xxxxx от лояльности банка"
127,"добрый день, я случайно перевела деньги на кредитную карту, на которой нет задолженности, могу ли я без комиссии перевести оттуда деньги?"
128,"пишет что надо обновить номер телефона, но он у меня остался прежним"
129,как узнать свой расчетный счет
130,что с платежами сбп?
131,onetotrip
132,после перевыпуска карты меняются ли реквизиты счета
133,"здравствуйте, мне уведомления не приходят как о пополнениях"
134,"здравствуйте. просьба отключить кредитную часть с моей карты, необходимо оставить только собственные средства"
135,мой расчетный счет
136,работа
137,бик банка где посмотреть
138,"мне же надо номер карты вписать, а не счета"
139,"подскажите пожалуйста я сейчас внесла кредит , как посмотреть что сумма внесена"
140,скажите пожалуйста прошла ли последняя операция на 000 рублей
141,добрый день.как найти платеж с сентября xxxxx
142,как отвязать карту если привязал ее к другому телефону
143,"добрый день, подскажите пожалуйста, когда у меня открыта кредитная карта?"
144,не получается узнать срок действия
145,завтра по возможности подъеду в отделение пушкино
146,операцию
147,"здравствуйте, я оформлял крилитную карту на 00.000 не на 00.000"
148,проверить имеющиеся карты
149,как узнать бик
150,нужен скан реквизитов
151,"здравствуйте, на какой счет ушли 0.000. хотела задолженность по карте оплатить"
152,тот кто получил деньги и владелец телефона совершенно разные люди.
153,"здравствуйте. скажите, пожалуйста, почему на кредитной карте не отображается сумма лимита?"
154,по определённой операции
155,как получить временный пароль
156,картхолдер
157,"мне нужен бик банка и расчётный счет, ни где нету могу найти"
158,как привязать номер ребёнка к детской карте
159,"здравствуйте. как установить пароль, если приложение просит ввести текущий, которого нет?"
160,куда вносить сумму долга
161,на детскую карту не приходят смс
162,можно уточнить какие у меня карты
163,номер карты подорожник указана не верно
164,в истории операций не отображается
165,оспаривание операций
166,"адрес кызыл, ул ленина, д. 00"
167,маркетплейсы кэшбэк
168,оформил заём когда он придет
169,"подскажите, а 0 мая банк работает? имею в виду, завтра поедем оформлять авто кредит, нам могут завтра на него ответ дать или нет?"
170,с какого числа действует счёт
171,"у меня приходит зарплата на карту альфа,уведомленийнет,почему"
172,номер карты меняется ?
173,как связаться с управляющем отделения в городе туапсе
174,"получила карту в спешке в аэропорту, сейчас понимаю что она мне не нужна"
175,"здравствуйте. расскажите, пожалуйста, про карту альфа тревел? она за границей действует для покупок переводов итд. или выгода только в приобретении туристических услуг?"
176,"я в отделении подписывала бумаги, но денег нет"
177,не могу найти счет кредита
178,муж выпустил на меня карту но она не отображается в кабинете
179,"бонус сверху ,что даёт?"
180,не видно откуда пришли деньги?
181,где найти бик банка?
182,"здравствуйте, как узнать бик"
183,почему денег нет на карте?
184,"посмотрите, деньги пришли?"
185,здравствуйте пришлите пожалуйста реквизиты кредитной карты альфа бизнеса
186,как узнать какой у карты расчётный счет
187,а карта в приложении появится только после того как я ее заберу ?
188,почему не приходит уведомление с кодом по смс
189,л л. лл
